88202	14	658	1	\N	1058	LPFRfPERF1nRnP
88251	14	2483	0	\N	1116	1RBLU1nqULBnqP
88254	14	2261	3	\N	1094	BELFULuluLuLUq
88319	14	2873	0	\N	1046	LPFRnEnEUfuEn1
88323	14	3086	2	\N	1046	qFRBnPuRUrURnE
88343	14	2350	0	\N	1156	qFRBuqPBuEn1UL
88345	14	2350	0	\N	1188	qFRBuqPnPURBuE
88559	14	3150	2	\N	1270	qFRbuBRFPbrERE
88564	14	3046	1	\N	1250	BELfufLB1FlqLq
88692	14	345	3	\N	1056	qFRURnRnrurUBE
88729	14	393	3	\N	1104	1RBUbuquBubnLP
89185	14	3808	1	\N	1380	1RqPBLUrpLE1Dr
89192	14	2906	1	\N	1004	1RqPBLUBUqnBnq
89193	14	1710	3	\N	1084	LPE1FRUFnRUPnE
89198	14	893	1	\N	1220	qFPERBUrqPbnqP
89201	14	1752	1	\N	1044	BE1qLFnqnBnLn1
89249	14	477	3	\N	988	LPE1FUFnEuEUFR
89269	14	1116	3	\N	1128	BE1q1BlFULnlqL
89301	14	832	2	\N	1024	1RqPqnbUqnbUBL
89302	14	3351	2	\N	1120	qFPEPnrUrBURuP
89303	14	2969	1	\N	1018	BE1q1nluLn1n1F
89304	14	636	3	\N	1058	LPE1fLF1ERU1UL
89325	14	1054	2	\N	1176	qFPErBURUPnqrB
89399	14	2913	0	\N	1046	qFPEURURnruRUB
89408	14	3190	1	\N	1046	BE1qULu1nln1UF
89426	14	1149	0	\N	1116	BE1qnBULnq1ULF
89455	14	1811	1	\N	1094	1RqPnqubuquqnL
89465	14	1918	2	\N	1156	BE1quBLquFURnP
89468	14	1918	2	\N	1188	BE1quBLULn1quF
89626	14	3238	2	\N	1270	LPElu1EPFlfRER
89636	14	3046	3	\N	1250	qFPfufPqRErBPB
89658	14	3160	1	\N	1350	1RqDLq1prBLqRB
89899	14	3545	0	\N	1078	BE1FLELqfnRnPE
90043	14	1010	1	\N	1154	LPEPf1RFuFuEuR
90405	14	143	1	\N	1056	LPEnEUEUfufn1R
90430	14	263	1	\N	1104	LPEnfuFuEufU1R
91005	14	2617	2	\N	1078	BElqFUE1F1nLUL
91012	14	708	1	\N	1078	qFrBEnFRERUPnP
91184	14	2579	1	RFL	1070	1RbPqRqPqLqRBP
91637	14	350	1	\N	1136	1RbrnBUqnquRnL
91733	14	810	1	\N	1270	1RbDBdRDRBLqRB
91745	14	710	1	\N	1380	BElD1quBLpELqf
91841	14	2622	2	\N	1380	qFrpRBuqPDFPBf
91871	14	2730	2	\N	1270	1Rbpqd1p1qPB1q
92076	14	1285	1	RFL	1070	LPfRFPFRF1FPER
92712	14	116	3	\N	1136	1RblUqnBUBu1UP
94048	14	2339	3	\N	1036	BEUBnFUq1BLqnq
94049	14	2511	0	RUL	940	1RURnLUPUPnRnP
94093	14	1305	0	\N	1148	LPU1En1BLqUFnR
94137	14	3903	1	RUL	980	LPU1ULURU1UPUR
94138	14	1385	2	\N	1004	qFUEUFUPURUEuB
94141	14	1007	1	RUL	988	LPU1ULn1uRnLu1
