98	9	32	1	\N	812	FUfLpLDlF
100	9	123	2	\N	760	FURuBUqPE
101	9	340	2	\N	752	FURuPE1UL
109	9	3543	3	RFU	728	BuqnBLn1q
110	9	3443	3	\N	768	BuqnPEnFR
111	9	3738	3	RFU	770	LulBLqLu1
195	9	1362	0	RFU	750	lnLq1ULBL
196	9	1356	0	RFU	738	bnbUB1bLB
115	9	62	0	\N	1180	1drEurdq1
116	9	62	0	\N	1110	1drqrdlE1
122	9	40	2	\N	698	PFPErnBnq
127	9	1356	0	RFU	730	1q1nLB1Ul
128	9	62	0	\N	1090	1qldrErd1
129	9	219	2	\N	760	1qPURuBUL
132	9	968	1	RFU	656	1qUBUqnBL
135	9	3816	1	RFU	680	E1ULu1nLF
136	9	3542	3	RFU	712	E1nLFnEuF
140	9	40	0	RFD	900	PfpEdPprE
153	9	703	3	RFU	688	qnBRqUBnP
154	9	40	2	\N	718	PnRnb1qLq
156	9	436	2	RFU	730	PnPFRfUFR
160	9	3442	3	\N	778	qnPUFPErB
163	9	3674	3	RFU	770	1uLELFluL
164	9	3442	3	RFU	728	quBUqPURB
165	9	3542	3	\N	768	quBULFUE1
167	9	2327	1	\N	980	quqpFrEDb
168	9	3738	1	RFU	770	qub1qLquB
173	9	1799	0	\N	980	rD1bLpPuP
178	9	2247	3	\N	980	lpRbPDLuL
184	9	491	1	\N	1260	blrfDblrf
185	9	491	1	\N	1200	blrfDflrb
186	9	491	3	\N	1260	blrfpblrf
187	9	491	3	\N	1200	blrfpflrb
194	9	59	0	\N	930	fULPf1RUf
197	9	275	0	\N	930	fnLPf1Rnf
228	10	379	0	\N	960	BEplDfnEUq
230	10	1616	0	\N	788	1RBLqPnqUB
231	10	1456	3	\N	852	LPFRE1uEuF
232	10	3390	0	\N	872	BELE1pLDqf
233	10	3427	2	\N	872	qFPFRDPpBf
235	10	2010	0	\N	788	BE1qLFULn1
237	10	340	0	\N	890	BElBLqLFuq
238	10	219	0	\N	868	1RbPbLUPUR
241	10	2007	1	\N	918	LPfUfnf1nR
249	10	1362	0	\N	764	LPUFUEnRn1
251	10	61	0	\N	768	BEnFUqFPER
257	10	2437	0	\N	764	LPnEUFU1nR
258	10	968	0	\N	764	qFnPnRUEUB
259	10	703	0	\N	960	lRpPnRDPUl
260	10	3427	3	\N	972	BfpLDqfRnP
261	10	3426	2	\N	872	lRpqDBLqLP
262	10	1691	3	\N	1018	BfdBdqf1qL
263	10	815	1	\N	1080	BfdqnBdqUf
265	10	62	0	\N	1220	LrdlqldrE1
267	10	276	0	\N	1170	bFRbdfLfdE
269	10	2751	0	\N	1160	BflqrBlqrf
271	10	276	0	\N	1260	bFLubdRfdE
274	10	144	2	\N	788	FRBEUqnFPE
278	10	1940	0	\N	848	FRE1FUPnEL
279	10	439	2	\N	788	BLqUFnBE1q
281	10	2615	3	\N	860	RBLF1qLE1P
284	10	3543	3	\N	992	BLELDEpflq
285	10	3335	1	\N	768	RB1BLqUqnP
286	10	60	0	\N	788	BLE1qFUFnE
287	10	340	2	\N	852	BLE1qFuFuE
289	10	276	0	\N	1230	FRbdfLfdbE
291	10	60	0	\N	880	BLU1qPEnFR
292	10	2912	0	\N	800	FRUPEnELF1
293	10	3633	1	\N	880	RBUqrFRfUF
295	10	236	0	RFU	704	FRUPnRUPnE
297	10	1835	1	RFU	786	FRUrnEUFRE
298	10	1044	0	RFU	778	RBUbnBPqUB
300	10	531	2	\N	784	RBnLU1UqnP
301	10	3633	3	\N	868	RBnLUlBLbP
302	10	1356	0	\N	848	RBnLUqPB1q
304	10	61	0	\N	880	LFnE1qPURB
305	10	1362	0	\N	840	BLn1qURqPB
306	10	2474	2	\N	768	RBnqUPnEuF
308	10	1796	3	\N	768	FRnPnEn1uL
310	10	355	0	\N	792	FRnPuEn1uL
311	10	94	0	RFU	752	FRnPuRuPnE
312	10	2759	0	\N	824	BLnPU1nRUq
314	10	94	3	\N	824	RBuqnLnPU1
315	10	900	3	\N	888	FRuLnPU1uE
321	10	60	0	\N	768	LE1qFUFnBE
322	10	1028	3	\N	840	B1qLUqPnRB
323	10	2971	3	\N	800	B1qLULFnE1
324	10	1066	2	\N	870	B1qLubRBPB
327	10	1028	3	\N	848	B1qRBLUqnP
330	10	1120	3	\N	892	LElFlquBu1
331	10	1603	3	\N	970	FPfLERfluL
332	10	1603	3	\N	930	FPfLE1fruP
333	10	703	0	\N	880	FPpRUPDRnE
334	10	783	2	\N	960	FPpRuPDRuE
335	10	2759	0	\N	1036	RqpfDBpfDP
339	10	783	2	\N	1190	BlBrBfrBlf
340	10	123	0	\N	868	FrErBUEUqF
345	10	1977	1	\N	960	RbDqUBpbnP
353	10	3633	1	\N	888	FrqPbnqUPE
